EVCC,VCC,NGC,RAJ2000,DEJ2000,Offset,cz,MmI,MmV,MTyp1,MTyp2,TT1,MTypV,umag,gmag,rmag,imag,zmag,Rad,R50,DR7,Sloan,Simbad,NED
1002,0,,189.87609999999998,18.368499999999997,0.92,946.1,M," ",dE(N),RA,401,,16.81,16.02,15.52,15.22,15.01,51.0,12.58,DR7,Sloan,Simbad,NED
1003,1803,,189.90709999999999,10.975699999999998,0.216,1329.3,M,M,dE(N),RA,401,"dE1,N:",16.51,15.35,14.89,14.49,14.36,61.29,19.08,DR7,Sloan,Simbad,NED
1004,1804,,189.9174,9.398599999999998,1.458,1936.0,M,M,dS0,BE,410,ImIII/BCD,17.1,15.6,15.17,14.91,14.67,48.13,11.13,DR7,Sloan,Simbad,NED
1005,1806,,189.92829999999998,13.607499999999998,0.107,1028.4,M,P,dE(N),RA,401,dE1?,17.75,16.6,16.03,15.71,15.44,23.27,6.53,DR7,Sloan,Simbad,NED
1007,0,,189.95739999999998,3.9356999999999993,0.949,1390.2,M," ",dE,BE,400,,17.35,16.18,15.69,15.45,15.31,18.65,4.75,DR7,Sloan,Simbad,NED
1008,0,,189.95949999999996,1.6724999999999999,0.496,1291.8,M," ",Sd,BE,204,,15.68,14.83,14.3,13.99,13.93,84.52,20.05,DR7,Sloan,Simbad,NED
1009,1811,4595,189.96549999999996,15.297699999999997,29.316,676.7,M,M,Sc,BE,203,Sc(s)II.8,13.79,12.68,12.26,12.03,11.93,68.53,18.56,DR7,Sloan,Simbad,NED
1010,0,,189.98109999999997,9.922399999999998,0.19,1379.2,M," ",Irr(HSB),BE,310,,18.92,17.78,17.42,17.31,16.93,7.87,2.08,DR7,Sloan,Simbad,NED
1011,1812,,189.98139999999998,11.857899999999999,0.183,-229.1,M,M,dE(N),RA,401,"dE3,N",19.15,17.33,16.98,16.52,16.25,18.58,5.71,DR7,Sloan,Simbad,NED
1012,1813,4596,189.98309999999998,10.176199999999998,29.847,1979.3,M,M,SBa,RA,211,SBa,12.59,10.94,10.15,9.76,9.5,149.4,35.53,DR7,Sloan,Simbad,NED
1013,1816,,189.99389999999997,13.781699999999999,9.057,987.8,M,M,Irr(LSB),BE,300,ImIV-V,16.55,16.04,15.74,15.2,15.64,74.55,18.05,DR7,Sloan,Simbad,NED
1016,1819,,190.02159999999998,5.7589999999999995,3.306,1121.7,M,P,dE,RA,400,?,19.49,17.8,17.35,17.22,16.86,35.78,9.07,DR7,Sloan,Simbad,NED
1018,1822,,190.04319999999998,6.846499999999999,1.187,976.4,M,M,Irr(HSB),BE,310,ImIV,17.29,16.22,15.99,15.84,15.5,37.81,10.37,DR7,Sloan,Simbad,NED
1019,1826,,190.04689999999997,9.896099999999999,0.109,1982.8,M,M,dE(N),RA,401,"dE2,N",16.95,15.52,14.89,14.59,14.37,26.41,6.36,DR7,Sloan,Simbad,NED
1021,1828,,190.05579999999998,12.874699999999999,0.156,1578.5,M,M,dE(N),RA,401,"dE2,N",16.16,15.04,14.43,14.07,13.8,53.02,13.78,DR7,Sloan,Simbad,NED
1022,1829,,190.07359999999997,6.731999999999999,0.897,939.8,M,P,dE(N),RA,401,"dE5?,N",18.95,17.45,16.79,16.24,16.12,26.76,7.29,DR7,Sloan,Simbad,NED
1023,1836,,190.08129999999997,14.714899999999998,0.938,2018.7,M,M,dS0,RA,410,dS06pec:,15.7,14.56,13.9,13.58,13.52,93.9,22.01,DR7,Sloan,Simbad,NED
1024,1833,,190.08199999999997,15.935299999999998,0.237,1806.3,M,M,S0,RA,200,S016,15.85,14.49,13.84,13.45,13.33,28.46,7.24,DR7,Sloan,Simbad,NED
1025,1837,,190.09949999999998,2.6085,0.422,1329.3,M,P,dE,RA,400,?,17.75,16.87,16.2,15.88,15.85,38.08,10.98,DR7,Sloan,Simbad,NED
1026,1839,,190.10799999999998,4.050199999999999,0.184,753.4,M,P,dE(N),RA,401,"dE1,N",18.53,16.9,16.27,15.9,15.75,31.09,9.94,DR7,Sloan,Simbad,NED
1030,1855,,190.20989999999998,4.525899999999999,0.558,743.7,M,P,dS0(N),BE,411,S0:,16.48,15.53,14.92,14.58,14.46,35.17,9.29,DR7,Sloan,Simbad,NED
1031,1860,,190.2385,15.275199999999998,0.212,-18.9,M,P,dE(N),RA,401,?,18.38,17.51,16.83,16.59,16.71,23.42,6.93,DR7,Sloan,Simbad,NED
1032,1859,4606,190.24009999999998,11.912099999999999,6.942,1704.0,M,M,SBa,RE,211,Sapec,13.85,12.3,11.72,11.32,11.11,115.02,25.98,DR7,Sloan,Simbad,NED
1033,1861,,190.24399999999997,11.184499999999998,0.269,630.8,M,M,dE(N),RA,401,"dE0,N",15.73,14.04,13.36,12.99,12.82,59.76,17.14,DR7,Sloan,Simbad,NED
1034,0,,190.25449999999998,9.718399999999999,0.346,1414.6,M," ",dE,BE,400,,18.81,17.91,17.55,17.34,17.18,11.06,2.94,DR7,Sloan,Simbad,NED
1037,1871,,190.3156,11.387199999999998,0.007,562.2,M,M,E,RA,100,E3,15.92,14.17,13.4,13.01,12.78,25.97,6.37,DR7,Sloan,Simbad,NED
1038,1876,,190.33599999999998,14.700499999999998,0.175,34.7,M,M,dE(N),RA,401,"dE5,N",16.31,14.98,14.35,14.03,13.9,52.54,12.43,DR7,Sloan,Simbad,NED
1040,0,,190.35589999999996,19.2215,0.114,479.6,M," ",dE(N),RA,401,,17.79,16.34,15.75,15.39,15.62,33.73,7.65,DR7,Sloan,Simbad,NED
1043,1881,,190.37269999999998,10.763099999999998,0.35,277.7,M,M,dE,RA,400,"dE3:,N",16.87,16.07,15.35,14.94,14.46,44.71,12.98,DR7,Sloan,Simbad,NED
1045,1886,,190.41419999999997,12.247399999999999,0.058,967.3,M,M,dE(N),RA,401,"dE5,N",16.83,15.23,14.64,14.32,14.3,53.11,13.43,DR7,Sloan,Simbad,NED
1046,0,,190.42719999999997,24.517999999999997,0.712,1101.2,M," ",dE(N),BA,401,,19.66,17.29,17.11,16.81,16.66,25.07,8.07,DR7,Sloan,Simbad,NED
1047,1887,,190.43829999999997,4.0066,0.014,807.4,M,P,dE,RA,400,dE4?,17.52,16.19,15.57,15.25,15.16,32.67,9.4,DR7,Sloan,Simbad,NED
1048,1890,,190.44469999999998,11.488399999999999,9.675,1199.7,M,M,dE,RA,400,dE4pecordS04,15.89,14.83,14.26,13.92,13.82,65.79,18.38,DR7,Sloan,Simbad,NED
